,Sentences
604,"A novel Severe acute respiratory syndrome-related coronavirus, SARS-CoV-2 (family: Coronaviridae ), is the virus behind a severe outbreak originating in China [1] "
605,SARS-CoV-2 surveillance is essential to slowing widespread transmission
606,"In January 2020, we quickly made available a capture enrichment panel [2] using CATCH [3] that is aimed at enhancing sequencing of SARS-CoV-2 and other respiratory viruses"
607,"Capture has also been important for ongoing SARS-like coronavirus surveillance [4] , and the panel's inclusion of SARS-like bat and pangolin coronaviruses can aid surveillance efforts.

There are several challenges associated with surveillance during the current SARS-CoV-2 outbreak"
608,"Second, SARS-CoV-2 is closely related to other important coronavirus subspecies and species, so detection assays can yield false positives if they are not exquisitely specific to SARS-CoV-2"
609,"Third, suspected SARS-CoV-2 patients sometimes have a different respiratory viral infection or have co-infections with SARS-CoV-2 and other respiratory viruses [7] "
610,"Therefore, it is important to characterize these other pathogens, for both patient diagnostics and outbreak response.

Here, we help address the challenge of identifying SARS-CoV-2 and the numerous other respiratory viral pathogens by reporting a set of comprehensive design options for 67 species and subspecies for CRISPR-based detection assays"
611,"We have not yet experimentally tested most of these designs, instead focusing our efforts so far on extensively testing a point-of-care assay for SARS-CoV-2 using the Cas13-based SHERLOCK technology [6, 8, 9] "
612,"Using this assay, we demonstrate sensitive detection of synthetic SARS-CoV-2 RNA at 10 copies per microliter.

We have been developing algorithms and machine learning models for rapidly designing nucleic acid detection assays, linked in a system called ADAPT (manuscript in preparation)"
613,"• Predicted specificity : Assays have high predicted specificity to their species or subspecies, factoring in the full extent of known strain diversity, allowing them to be grouped into panels that are accurate in differentiating between related taxa.

Comprehensiveness and-to some extent-specificity of the designs can be verified in silico .

Using ADAPT we designed 67 assays, satisfying the above constraints, to identify: the SARS-related coronavirus species; SARS-CoV-2; two other subspecies in that species with high similarity to SARS-CoV-2; all other known Coronaviridae species, including 4 other species that commonly cause human illness; and other common respiratory viral species and subspecies ( Table 1 ) "
614,"SARS-CoV-2 is designed to exclude detection of the highly similar RaTG13 sequence, and other similar bat and pangolin SARS-like coronaviruses; the SARS-like subspecies includes most bat and pangolin SARS-like coronaviruses.

We initially screened a set of 4 designs for SHERLOCK [6, 8, 9] assays, output by ADAPT to detect SARS-CoV-2"
615,This assay performs well in comparison to the recently disclosed DETECTR [10] assay (sensitivity: 70-300 cp/µl) [11] and SHERLOCK assay (10-100 cp/µl) [12] for SARS-CoV-2
616,"

Ongoing SARS-CoV-2 sequencing is key to developing and monitoring diagnostics and similar surveillance tools"
617,"In the case of the SARS-CoV-2 outbreak, genomes have been generated and shared at a remarkable pace, and we thank those who have contributed their data through GISAID [13]"
618,"We and others, relying on this data [14] , have shown that it is possible to rapidly design CRISPR-based tools for detection and surveillance during an outbreak.

Among other goals for this work, we plan to evaluate: (1) sensitivity of the SARS-CoV-2 assay against clinical isolates and patient samples-including sputum, throat, and nasal swabs-some of which may be challenging sample types to test; (2) specificity at both the species and subspecies levels against highly related viruses"
619,"Combining a mathematical model of SARS-CoV-2 transmission with four datasets from within and outside Wuhan, we estimated how transmission in Wuhan varied between December and February 2020"
620,"We then used these estimates to assess the potential for sustained human-to-human transmission to occur in locations outside Wuhan if cases are introduced.

Evidence before this study: We searched PubMed, BioRxiv and MedRxiv for articles published up to 10 th February 2020 using the keywords ""2019-nCoV"", ""novel coronavirus"", ""COVID-19"", ""SARS-CoV-2"" AND ""reproduction number"", ""R0"", ""transmission"""
621,"This creates a substantial risk of outbreaks in other countries, although if SARS-CoV-2 has MERS-CoV or SARS-CoV-like variability in "
622,"https://doi.org/10.1101/2020.01.31.20019901 doi: medRxiv preprint

Combining a mathematical model with multiple datasets, we found that the median daily reproduction number, R t , of SARS-CoV-2 in Wuhan likely varied between 1.6-2.6 in January 2020 prior to travel restrictions being introduced"
623,"We found some evidence of reduction in R t in the days prior to the introduction of travel restrictions in Wuhan, which may have been reflected outbreak control efforts or growing awareness of SARS-CoV-2 during this period"
624,"This may be the result of increased surveillance and detected as awareness of SARS-CoV-2 grew in late January, which would suggest earlier exported cases may have missed; it may also be the result of increased travel out of Wuhan immediately prior to travel restrictions being introduced on 23rd January.

Based our on estimated reproduction number, and published estimates of individuallevel variation in transmission for SARS and MERS-CoV, we found that a single case introduced to a new location would not necessarily lead to an outbreak"
625,"We used plausible biological parameters for SARS-CoV-2 based on current evidence, but these values may be refined as more comprehensive data become available"
626,"However, by fitting to multiple datasets to infer model parameters, and performing sensitivity analyses on key areas of uncertainty, we have attempted to make the best possible use of the available evidence about SARS-CoV-2 transmission dynamics"
627,"However, there is evidence that transmission of SARS-CoV-2 can occur with limited reported symptoms (25) "
628,"However, it remains unclear what the precise extent of such variation is for SARS-CoV-2 (13); if transmission were more homogenous than SARS of MERS-CoV, it would increase the risk of outbreaks following introduced cases"
629,"As more data becomes available, it will be possible to refine these estimates, and therefore we made an online tool so users can explore these risk estimates if new data become available (Appendix, page 4) Our results demonstrate that there was likely substantial variation in SARS-CoV-2 transmission over time, and suggest a decline in transmission in Wuhan in late January around the time that control measures were introduced"
630,"1 As of 24 Feb 2020, 119 SARS-CoV-2 genome sequences from 15 countries are publicly available from over 79,331 confirmed cases"
631,"While unbiased sequencing successfully achieved an unambiguous identification of the virus in the absence of any sequence enrichment, complete coverage of the SARS-CoV-2 genome was subsequently achieved by augmenting the mNGS library preparation via a spiked primer enrichment approach"
632,"Extracted RNA samples were DNAse-treated and tested via real-time polymerase chain reaction for SARS-CoV-2 using both the Charité Virology and Hong Kong University protocols and confirmed positive on January 27 th , 2020"
633,Geneious Prime 2020.0.5 was used for separate de novo assembly and annotation of the draft SARS-CoV-2 genome
634,"In subsequent runs to achieve higher coverage of the viral genome, two additional steps were taken: 1) the subsampling filter of the nonhost reads was removed and 2) targeted enrichment of the SARS-CoV-2 sequence using author/funder"
635,"6

By February 1, the SARS-CoV-2 genome was correctly identified in the index COVID-19 patient sample using mNGS and globally accessible bioinformatics"
636,"When processed on IDseq pipeline version 3.18 with a February 2020 NCBI index, which included 54 SARS-CoV-2 sequences deposited by the international research community, sequences from the index patient aligned to the SARS-CoV-2 reference genome ( Figure 1A , 582 reads, at 100% identity to the reference sequence; NCBI accession MN985325.1)"
637,Further analysis resulted in 33.2% coverage of the SARS-CoV-2 reference at an average depth of 2.2x ( Figure 1B )
638,Assembly and alignment on Geneious resulted in 50.5% coverage at 2.6x of the SARS-CoV-2 genome (NCBI accession MN908947.1)
639,"Re-sequencing the index case to a total sequencing depth of 8,786,916 single reads resulted in a greater number of SARS-CoV-2 alignments (819 reads) but had no impact on overall coverage -32.3% coverage breadth at an average depth of 2.7x.

Using the target enrichment strategy, the overall fold enrichment was 6.4x"
640,"In terms of improving genome coverage, particularly at the 5' end of the SARS-CoV-2 genome, the resulting 3,077 reads mapping to SARS-CoV-2 assembled into a single contig which provided full coverage of the reference genome at an average depth of 14.9x ( Figure 1C )(NCBI accession MN988668.1).

All human SARS-CoV-2 genomes are very similar, including the SARS-CoV-2 genome from the Cambodian case as we would expect given that he transited directly from Wuhan"
641,The index Cambodian SARS-CoV-2 sequence data uploaded to public databases represent one of the only sequences generated in a low-to-middle income country close to the outbreak epicenter
642,"8 As cases of COVID-19 spread globally in mid-January, initial real-time PCR protocols took into account that the genetic diversity of SARS-CoV-2 in humans and animals was not completely known"
643,"To overcome this barrier, our follow-up steps included a target enrichment of SARS-CoV-2 while keeping the comprehensiveness of our mNGS pipeline intact"
644,"Most patients had a high neutrophil-to-lymphocyte ratio, high systemic immune-inflammation index, and increased levels of proinflammatory cytokines.

SARS-CoV-2 causes a cluster of severe respiratory illness which is similar to another two fatal coronavirus infection caused by SARS-CoV and MERS-CoV"
645,"These damages might be attributable to indirect cytokines storm initiated by immune system and direct attack from SARS-CoV-2 itself.

In December 2019, the first acute respiratory disease caused by severe acute respiratory syndrome coronavirus (SARS-CoV)-2, and recently officially named as Corona Virus Disease 2019 (COVID- 19) by World Health Organization (WHO) occurred in Wuhan, China"
646,"https://doi.org/10.1101/2020.02.26.20028191 doi: medRxiv preprint SARS-CoV-2 infection since human airway epithelia express angiotensin converting enzyme 2 (ACE2), a host cell receptor for SARS-CoV-2 infection"
647,"30 out of 82 dead patients (30.5%) had 2 or more underlying diseases.

We analyzed the causes of mortality of patients with laboratory-confirmed SARS-CoV-2 infection (table 2) "
648,A majority of patients (75.6%) had 3 or more damaged organs or systems following the infection with SARS-CoV-2
649,"It has been reported that the binding receptor for SARS-CoV-2, ACE2 is mainly expressed in blood vessels and lung alveolar type II (AT2) epithelial cells, 13 Similar to the SARS-CoV and MERS-CoV, SARS-CoV-2 can directly attack ACE2-expressing cells"
650,"https://doi.org/10.1101/2020.02.26.20028191 doi: medRxiv preprint pathological findings indicated that infected lungs with SARS-CoV-2 present as ARDS, pulmonary edema with hyaline membrane formation, evident desquamation of pneumocytes"
651,"First, ACE2 expression is also found in the kidney, heart, and liver etc, therefore SARS-CoV-2 could invade the cells of above tissues, reproduce and damage these organ"
652,"19, 20 A recent study showed high levels of IL-1β, interferon γ -induced protein 10 , and MCP-1 occurred in serum of patients infected with SARS-CoV-2, which probably leaded to the activation of T-helper-1 cell response 1 "
653,"These results, consistent with the previous findings found in the patients with severe illness, suggest perturbation of immune system contribute the pathogenesis of SARS-CoV-2"
654,"Lung injury begins with an insult to the lung epithelium mainly attacked by SARS-CoV-2 itself because of ACE2 expressed in the lungs, which leads to most common respiratory failure"
655,"Other organs or tissues, more or less, are potentially damaged through direct attack from SARS-CoV-2"
656,"https://doi.org/10.1101/2020.02.26.20028191 doi: medRxiv preprint addition, damages of multiple systems including the lungs, might originate with systemic damage due to CRS following SARS-CoV-2 infection"
657,"Considering the pandemic potential and moderate threaten of COVID-19 for population with multiple underlying diseases, further studies are required to focus on pathology and pathophysiology of tissue injury caused by SARS-CoV-2 infection, especially on the activation process of immune response and cytokines storm.

JW, BZ and QS had the idea for and designed the study and had full access to all data in the study and take responsibility for the integrity of the data and the accuracy of the data analysis"
658,"Since December 2019, an increasing number of atypical pneumonia cases caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) have been reported in Wuhan City of Hubei Province, China 1 In the present study, we aim to describe the epidemiological characteristics of COVID-19 outbreak after 50 days of detection in the provinces outside Hubei"
659,The sudden outbreak of the new coronavirus (SARS-CoV-2) at the end of December 2019 poses a huge threat to human health worldwide
660,"The SARS-CoV-2 virus causes severe respiratory disease that can quickly spread from person to person and in some cases lead to death.

Researchers have found that the new SARS-CoV-2 and SARS coronaviruses invade human cells in target tissues in a similar manner via high-affinity binding to angiotensin-converting enzyme 2 (ACE2) [1] "
661,"In recent epidemiological investigations of the spread of the SARS-CoV-2 and a preliminary study of the clinical characteristics of this disease [2] [3] [4] [5] [6] , researchers have found that patients infected with the new coronavirus have severe symptoms similar to those of the SARS infection"
662,"The first batch of clinical data reports of SARS-CoV-2 infection cases in China revealed ""cytokine storms"" in critically ill patients [7, 8] "
663,"For example, TWIRLS found 100 CSSEs close to ACE2, the receptor of SARS and SARS-CoV-2 viruses (see left panel in Figure 1 )"
664,"For an entity category, the associated CSHGs (e.g., Ci CSHGs, where i represents the category number) can thus be selected by a Z score <-3 (the Z scores describing the association between CSHG and any category is summarized in Sheet2 of Table S1 , and the category labels of all CSHGs are provided in Sheet 3).

Specifically, Spike proteins (S proteins) of different coronaviruses recognize different receptor molecules on human cells, such as ACE2 (binds to Spike proteins in SARS and SARS-CoV-2 virus) and DPP4 (binds to Spike protein in MERS virus)"
665,"Similar to the SARS virus, viral genomics and structural biology studies have shown that ACE2 is also a functional receptor for the new SARS-CoV-2 coronavirus"
666,"After binding to ACE2 via its Spike protein, SARS-CoV-2 undergoes membrane fusion and enters the host cells by endocytosis"
667,"Therefore, this virus was named SARS-CoV-2, and recently WHO named it coronavirus disease 2019 (COVID-19)"
668,"However, it has not been reported that patients with COVID-19 had any neurological manifestations.

Here, we would like to report the characteristic neurological manifestation of SARS-CoV-2 infection in 78 of 214 patients with laboratory-confirmed diagnosis of COVID-19 and treated at our hospitals, which are located in the epicenter of Wuhan.

This was a retrospective study"
669,"Union Hospital, located in the endemic areas of COVID-19 in Wuhan, Hubei Province, is one of the major tertiary healthcare system and teaching hospitals responsible for the treatments for SARS-CoV-2 infection as designated by the government"
670,"SARS-CoV-2 was confirmed by real-time RT-PCR assay using a SARS-CoV-2 nucleic acid detection kit according to the manufacturer's protocol (Shanghai bio-germ Medical Technology Co Ltd).

Continuous variables were described as means and standard deviations, or medians and interquartile range (IQR) values"
671,"The significance threshold was set at a P<0.05.

A total of 214 hospitalized patients with confirmed SARS-CoV-2 infection were included in the present analysis"
672,"Moreover, during the epidemic period of COVID-19, when seeing patients with these neurologic manifestations, doctors should consider SARS-CoV-2 infection as a differential diagnosis so to avoid delayed diagnosis or misdiagnosis and prevention of transmission.

Recently, ACE2 is identified as the functional receptor for SARS-CoV-2 [3] , which is present in multiple human organs, including nervous system and skeletal muscle [11] "
673,"The expression and distribution of ACE2 remind us that the SARS-CoV-2 may cause some neurological symptoms through direct or indirect mechanisms.

the cerebrospinal fluid of those patients and also in their brain tissue on autopsy [12] [13] .

CNS symptoms were the main form of neurological injury in patients with COVID-19 in this study"
674,"The pathological mechanism may be from the CNS invasion of SARS-CoV-2, similar to SARS and MERS virus"
675,"However, SARS-CoV, using the same receptor, was not detected in skeletal muscle by post-mortem examination [15] .

Therefore, whether SARS-CoV-2 infects skeletal muscle cells by binding with ACE2 requires to be further studied"
676,"Significantly In conclusion, SARS-CoV-2 may infect nervous system, skeletal muscle as well as respiratory tract"
677,"The cause of the pneumonia cases was identified as a novel betacoronavirus, the 2019 novel coronavirus (2019-nCoV, recently renamed as SARS-CoV-2, the cause of coronavirus disease COVID-19)"
678,"Thanks to molecular epidemiology 46 studies, we know that SARS, MERS and SARS-CoV-2 had their origins in wild animal reservoir 47 species before spilling over into humans"
679,"https://doi.org/10.1101/2020.03.02.974311 doi: bioRxiv preprint As the MyCoV database was established prior to the recent emergence of the SARS-CoV-2, we 157 used genomic sequence data from this virus as a test case for the utility of the MyCoV package"
680,"Since the early December 2019, the outbreak of an unknown epidemic pneumonia in Wuhan, a city in Hubei Province of China, is identified to be caused by a novel coronavirus [5] , named as SARS-CoV-2 by the International Committee on Taxonomy of Viruses (ICTV) and the disease was named as Coronavirus Disease 2019 (COVID-19) by The World Health Organization (WHO) [6] "
681,"While the world are jointing efforts to develop diagnostics, therapeutics, and vaccines to fight against COVID-19, information about cultivation, purification and super molecular structure of SARS-CoV-2 in their native state is in need urgently.

CoV are enveloped single-stranded positive-RNA viruses"
682,Several recent studies considering the structure of SARS-CoV-2 were all focused on the S protein
683,[10] reported a structure at 3.5 Å resolution of SARS-CoV-2 S protein
684,[11] reported the complex structure of SARS-CoV-2 S protein with human host cell binding receptor angiotensin-converting enzyme 2 (ACE2)
685,[12] reported crystal structure of SARS-CoV-2 S protein's receptor binding domain (RBD) region binding with ACE2
686,"However, all proteins mentioned above are engineered in laboratory by recombinant expression system, not from real virus and the structure as whole of virion is thus still lacking.

Furthermore, safety is one of the major factors that restricts virus study of SARS-CoV-2 due to a high risk of possible transmission, live viruses must be operated in Biosafety 

A 62-year-old male was admitted to our hospital on 15 January, 2020 with pneumonia, and was further diagnosed as COVID-19"
687,"Viral RNAs could be detected in the cell culture supernatant using a CFDA approved commercial kit with low Ct values ( Figure 1B ).

The purified SARS-CoV-2 particles showed specific reaction activity to convalescent plasmas from SARS-CoV-2-infected patients ( Figure 1C ) and the specific human monoclonal antibodies against the RBD of the S protein using ELISA assay ( Figure   1D )"
688,"The genome sequence of this virus has been submitted to the Global Initiative on Sharing Avian Flu Data (GISAID) with an access number of EPI_ISL_406594, and designated as ""BetaCoV/Shenzhen/SZTH-003/2020"".

Phylogenetic analyses showed that the viruses possessed high homology with the other isolates, and two closest isolates are BetaCoV/Wuhan/IPBCAMS-WH-04/2019 from Wuhan and SARS-CoV-2/NTU01/2020/TWN from Taiwan ( Figure 1F ).

In Figure 2 and Figure The copyright holder for this preprint (which was not peer-reviewed) is the "
689,Tightly underneath the lipid bilayer is the condensed density formed by nucleic acid and nucleocapsid protein of SARS-CoV-2
690,"https://doi.org/10.1101/2020.03.02.972927 doi: bioRxiv preprint 8

Microtiter plates (Sangon Biotech) were coated overnight at 4°C with 2.5 × 10 3 TCID 50 /well/100 µl purified and inactivated SARS-CoV-2 particles"
691,"The plasma were diluted to 1000-fold and human monoclonal antibody specific to SARS-CoV-2-RBD generated by our laboratory were diluted to 200 µg/ml into PBS as initial concentration, and serial 3-fold dilutions of sera was added to the wells and incubated at 37°C for 60 minutes"
692,The assembled sequence was further analyzed together with other genomes of SARS-CoV-2 downloaded from National Center for Biotechnology Information (NCBI) database
693,1-2 RT-PCR analyses and electron microscope observations detected a novel coronavirus named SARS-CoV-2 (formerly known as 2019-nCoV)
694,"3 Coronavirus disease 2019 (COVID-19), which is caused by SARS-CoV-2, has been confirmed to have obvious person-to-person transmission among close contacts"
695,"Diagnosis of COVID-19 was based on the New Coronavirus Pneumonia Prevention and Control Program (2nd edition) of China and was indicated by suspected symptoms, chest CT results and SARS-CoV-2 positivity by use of quantitative RT-PCR"
696,"In the early stage of SARS-CoV-2 transmission, the clinical features of patients with COVID-19 at symptom onset mostly manifest as fever, dry cough, myalgia and fatigue, with or without diarrhea"
697,"Since the 3 rd and 4 rd -generation transmission and even asymptomatic carriers of SARS-CoV-2 have appeared, 4, 8 it is urgent to distinguish the differences in clinical manifestations of COVID-19 patients at admission during diverse infection periods.

In this study, we observed a small proportion of female patients admitted before January 23, considering that the sample size is not large, it is difficult to account for this phenomenon"
698,"Some common systemic symptoms of COVID-19, such as fever, fatigue, sputum and myalgia, were more prominent in the patients admitted before January 23, but they were more insidious in patients admitted later.

However, there is still no convincing evidence to predict whether the transmission and pathogenicity of SARS-CoV-2 will weaken during transmission"
699,"As the ""close relatives"" of SARS-CoV-2, previous studies have shown that the interpersonal transmission of SARS-CoV and MERS-CoV were constantly changing"
700,"Therefore, the clinical manifestations of COVID-19 in different periods should be observed in detail.

Research has confirmed that SARS-CoV-2 infects host cells by binding to angiotensin converting enzyme II (ACE2), 10-12 and ACE2 is highly expressed in nasopharyngeal cells"
701,Research and clinical findings seem to suggest that SARS-CoV-2 may be colonized in the nasopharynx but has failed to be recognized in the early stage
702,"As a result, SARS-CoV-2 could hardly be removed by self-cleaning responses such as sneeze and runny and could not be cleared immediately by the local immune system; thus, the initial symptoms of COVID-19 are insidious"
703,"8 All of these results indicated that the less obvious respiratory symptoms in early infected patients may be due to the existence of pathogenic latency of SARS-CoV-2.

In addition, our study found that a larger proportion of the patients admitted earlier had decreased lymphocyte, CD3 and CD8 T cell counts in the peripheral blood"
704,"Overall, changes in symptoms and laboratory results at admission reflect that SARS-CoV-2 may be undergoing a certain degree of modification, and infection in patients seems to be more insidious"
705,"Therefore, we propose that it may be of great significance in guiding the diagnosis and prevention of COVID-19 in the future if respiratory samples, especially lower respiratory samples, could be collected to detect the content of ACE2 and SARS-CoV-2 in patients infected at different periods.

More notably, as of now, 3 unique patients have appeared in our unit"
706,"All of them reached the discharge standard (SARS-CoV-2 negativity detected on different days), but a re-examination of their throat swabs showed positive infection days after discharge"
707,"The presence of asymptomatic infection also suggests that SARS-CoV-2 may gradually evolve into a virus similar to influenza, 17 or it may be latent in humans for a long time"
708,This indicates that spread of SARS-CoV-2 is likely to be difficult to stop by isolation of detected cases alone
709,"1 The disease is caused by a novel coronavirus (SARS-CoV-2), which was first discovered in the epidemic center of Wuhan, Hubei province, China in December 2019"
710,"Until now, only one article reported transmission of SARS-CoV-2 infection from an asymptomatic case in the incubation period in Germany"
711,"9 One article from Germany found SARS-CoV-2 in a throat swab in two asymptomatic cases, 10 and the other article from China suggested the transmission by an asymptomatic carrier of SARS-CoV-2 in a familial cluster of five COVID-19 patients"
712,"By examining the cases who were confirmed to be infected with SARS-CoV-2 after a short visit to Wuhan or having a short contact history with a confirmed case, the incubation period could be accurately estimated based on their precise exposure time"
713,"We defined the first-generation cases in a cluster as those who had a travel history to Wuhan, or had a contact history (contact with the people from Wuhan, or confirmed cases, or persons with respiratory symptoms), and had been confirmed to have infection of SARS-CoV-2"
714,"The secondary cases were defined as those who had a clear contact history to the first-generation cases, and had been confirmed to have infection of SARS-CoV-2, but had no other potential infection source"
715,"1 ).

Among the 50 clusters infected with SARS-CoV-2, the median age of the first-generation cases was 47 years (range, 21 to 73), and 58.0% were male, and 82.0% had a travel history to Wuhan ( Table 2 )"
716,"1 2 From bronchoalveolar lavage samples of the infected patients, a novel beta-coronavirus (SARS-CoV-2) was isolated and identified as the causative agent"
717,"4 However, whether the SARS-CoV-2 transmits directly from bats or through an intermediate host is still uncertain.

Although epidemiological studies indicate a common link between the initially diagnosed patients and the Huanan Seafood Market in Wuhan, 5 an increasing number of later confirmed cases have involved infected patients without history of contacting the implicated market, nor traveling to Wuhan, 6 and the family cluster type of infections were reported"
718,"6 9 Based on a recent large-scale epidemiological survey, the latency period of the SARS-CoV-2 may extend up to 24 days, even though the proportion of patients with long incubation period is very small, but the medium incubation period remains short at 3 days"
719,"Unlike SARS-CoV, the SARS-CoV-2 displays a highly contagious infectiousness even during the asymptomatic period 12 "
720,"At present, there is no effective medication nor vaccine for the SARS-CoV-2 infection"
721,"The presence of SARS-CoV-2 in pharyngeal swab specimens was detected by real-time RT-PCR using ORF1ab/N gene PCR kit (Biogerm, Cat# SJ-HX-226-1,2, Shanghai, China) according to the protocol described previously"
722,"https://doi.org/10.1101/2020.03.02.20030452 doi: medRxiv preprint oseltamivir, arbidol hydrochloride, α-interferon atomization inhalation, and lopinavir/ritonavir), (4) Extracorporeal membrane oxygenation (ECMO) support was used for the patients with refractory hypoxemia that is difficult to be corrected by prone and protective lung ventilation strategy.

Nucleic acid tests for SARS-CoV-2 were repeated twice and shown virus clearance before patients discharge or discontinuation of quarantine.

We reviewed clinical charts, nursing records, laboratory findings and chest radiography for all patients with laboratory-confirmed COVID-19 infection"
723,"The dose and duration of intravenous glucocorticoid treatment showed no difference in outcomes of symptomatic relief and death ( Table 5) Table 4 ).

This retrospective, single-center study included a total of 221 SARS-CoV-2 pneumonia cases from Jan 2 to Feb 10, 2020"
724,"https://doi.org/10.1101/2020.03.02.20030452 doi: medRxiv preprint 13 mean R0, an indicator of virus transmissibility, for the SARS-CoV-2 is around 3.28, which is higher than the WHO estimated at 1.95"
725,"Like other viruses, the SARS-CoV-2 enters cells through receptor-mediated endocytosis"
726,"26 Studies showed that the SARS-CoV-2 may infect alveolar epithelial cells in lung through the angiotensin-converting enzyme II (ACE2) receptor, which is also expressed in other tissues, such as kidney, blood vessels and heart"
727,"31 The corticosteroid therapy regarding the onset therapeutic time, the dosage, and duration were still controversial in the treatment of severe SARS or SARS-CoV-2 pneumonia"
728,19.20025023 doi: medRxiv preprint Discussion SARS-CoV-2 is a highly infective virus
729,"Further understanding of the epidemiological and clinical features of COVID-19 is of great importance for the early detection of patients and reduction of severe cases and deaths [12] .

The present study was based on 102 diagnosed SARS-CoV-2 infected patients in Xiangyang

No.1 People's Hospital, Hubei"
730,"Based on the family-clustering feature of SARS-CoV-2 infected population in Xiangyang, it is of "
731,"Those people have low immunity, organic damage, and decreased body regulation, which may explain the high incidence of SARS-CoV-2 infection in this age group [15] "
732,"Among three deaths, one was infected with SARS-CoV-2 after recent lung cancer surgery, one had diabetes, ischemic cardiomyopathy, and hyperthyroidism, and one had hypertension and coronary heart disease [16, 17] "
733,"19.20025023 doi: medRxiv preprint intervention and control of basic diseases may be a way to reduce the critical ill rate and mortality of the aged-infected population.

SARS-CoV-2 mainly causes lower respiratory tract infections [18] "
734,"The disagreement may be caused by the nature of the systemic infection of the virus, the insufficient understanding of the disease.

A recent study reported that ACE-2-expressingcolonocytes are vulnerable for SARS-CoV-2 infections [19] .

The positive rate of the first throat swabs real-time RT-RNA test in patients was 66%; the cumulative positivity rate in two rounds was 86%, and the cumulative positivity rate in three rounds was 96%"
735,"Based on this, we inferred that ""3+2 "" combined strategy can diagnose most SARS-CoV-2 infected patients, which had great reference value for the diagnosis of ""clinically diagnosed cases"""
736,"The application of the ""3+2"" diagnostic method was conducive to the effective control of the source of infection and was a key point to improve SARS-CoV-2 prevention and control.

It has showed that SARS-CoV-2 is similar with SARS-CoV and MERS-CoV, using S-protein interacts with human ACE2, thereby infecting human respiratory epithelial cells, causing immune and inflammatory responses, and then producing cytokines and inflammatory mediators, such as IL1β, IFNγ, IP10, MCP1, et al [25] "
737,"Thus, studies excluding those patients may not actually reflect the real picture of clinical and epidemiological feature of SARS-CoV-2 infected population"
738,"Subsequently, rapid humanto-human transmission of the disease was confirmed in January 2020, and the etiological agent was identified as severe acute respiratory syndrome-related coronavirus 2 (SARS-CoV-2) due to its genetic similarity to the SARS-CoV discovered in 2003 (4, 5) "
739,"Therefore, detailed epidemiological data from these countries is needed to monitor transmission potential of SARS-CoV-2 in near real-time.

Outside of China, Singapore is one of the hardest hit countries with the COVID-19 epidemic (9), reporting its first symptomatic imported case (a 66 years old Chinese male) on January 23, 2020 (10)"
740,"In China, substantial hospital-based transmission of SARS-CoV-2 has been reported, with a total of 1700 cases involving among healthcare workers (16, 17) "
741,"To minimize the risk of hospital-based transmission of SARS-CoV-2, the Ministry of Health of Singapore has restricted the movement of patients and staff across hospitals (20) "
742,"Using epidemiological data and mathematical modeling tools, we are monitoring the effective reproduction number, Rt, of SARS-CoV-2 transmission in Singapore in real-time, and here we report the evolution of Rt by March 5, 2020"
743,"The distributions of reporting delays for the larger clusters are displayed in Figure 7 .

Using the delay-adjusted incidence curve of local cases, we estimated the intrinsic growth rate r at 

Overall, current estimates of transmission potential in Singapore, based on two different data sources and different methods, suggest that temporary local transmission potential of SARS-CoV-2 has occurred in Singapore while our most recent estimate of the effective reproduction number and the overall reproduction number derived from the distribution of cluster sizes are below the epidemic threshold of 1.0"
744,These findings emphasize the need to strengthen public health interventions including active case contact tracing activities in countries with emerging transmission of SARS-CoV-2
745,21.20026435 doi: medRxiv preprint This is the first real-time study to estimate the evolving transmission potential of SARS-CoV-2 in Singapore
746,"Our current findings point to temporary sustained transmission of SARS-CoV-2, with our most recent estimate of the effective reproduction number lying below the epidemic threshold of 1.0"
747,"These estimates highlight the significant effects of containment efforts in Singapore while at the same time suggest the need to maintain social distancing and active case finding efforts to stomp out all active or incoming chains of transmission.

SARS-CoV-2

Not applicable

The authors declare no conflicts of interest.

Funding G.C"
748,"The first death attributed to this novel coronavirus, named as SARS-CoV-2 (COVID-19 is the associated disease), occurred on January 13, and according to the China CDC 11 the case fatality rate (CFR) was 0.2%: 2 deaths in 1036 confirmed cases on the last day of January 2020"
749,"virus (ZIKV), and most recently SARS-CoV-2 1,2 "
750,"50

In early January 2020, a cluster of cases of pneumonia from a novel coronavirus, 51 SARS-CoV-2 (with the disease referred to as COVID-19), was reported in Wuhan, 52

China 1,2 "
751,"58

However, the typical turnaround time for screening and diagnosing patients with 59 suspected SARS-CoV-2 has been >24 hours given the need to ship samples overnight 60 to reference laboratories"
752,"To accelerate clinical diagnostic testing for COVID-19 in the 61 United States, the FDA on February 28th, 2020 permitted individual clinically licensed 62 laboratories to report the results of in-house developed SARS-CoV-2 diagnostic assays 63 while awaiting results of an EUA submission for approval 7 "
753,"64

Here we report the development and initial validation of a CRISPR (clustered 65 regularly interspaced short palindromic repeats)-Cas12 based assay 8-11 for detection of 66 SARS-CoV-2 from extracted patient sample RNA in approximately 30 minutes, called 67 SARS-CoV-2 DETECTR"
754,"93

We next compared the analytic limits of detection (LoD) of the RT-LAMP/Cas12 94 DETECTR assay relative to the US FDA Emergency Use Authorization (EUA)-approved 95 CDC assay for detection of SARS-CoV-2 (Table 1; Fig"
